Population,Latitude,Longitude,Elevation,PC1,PC2,PC3,AHM.6190,bFFP.6190,CMD.6190,DD_0.6190,DD_18.6190,DD18.6190,DD5.6190,eFFP.6190,EMT.6190,Eref.6190,FFP.6190,MAP.6190,MAR.6190,MAT.6190,MCMT.6190,MSP.6190,MWMT.6190,NFFD.6190,PAS.6190,PPT_sm.6190,PPT_wt.6190,RH.6190,SHM.6190,Tave_sm.6190,Tave_wt.6190,TD.6190,Height,GthRate,ShootDryMass,Gth5pct,Gth95pct,ColdInjury
AB_GSIMS_1956,49.667,-110.25,1160,-0.0811817823036197,0.0323891906370523,-0.0486229417439599,1.88708667206521,-0.455067945630621,1.37530716222353,-0.0559056149009083,-0.34148288587031,0.980885810926631,0.923669701383308,-0.498562338350975,-0.297124751914858,1.4121550369201,0.034817436086727,-0.973515345262094,1.68600748787627,0.358280500933857,0.0912911682317441,-0.541039538324679,1.30562609201379,-0.0422188614648936,-0.959054078631315,-0.544335101594201,-0.832913668619796,-1.05958768302577,0.78081607604667,1.22702926004369,-0.0308414456877957,0.413310779370032,0.330726509904936,-0.821722301478801,1.18935597744745,-1.73204821466268,0.141717036186586,NA
AB_GSIMS_2186,54.717,-115.417,1160,-0.0260044214689852,-0.000924502124425325,0.0307325669663754,-0.275535517841222,-0.980035732879025,-1.3078823750931,0.182456854262286,0.16174205745009,-0.254407341474998,0.0774295283908339,0.465427996160328,-0.0660539534619919,-0.710369570059425,0.780641167103324,-0.084413163122227,-0.354942828041916,-0.176242874335713,0.136971526939173,2.06974392529281,0.0511595000414997,0.0739368538635157,-0.733689726491493,2.50567946869966,-0.732035824917604,-0.00970690329505564,-1.27736019968794,0.0904315197282983,-0.0934512255792353,-0.114229703798252,-0.565594572678131,-0.703185796405828,-0.214025290738542,-1.14677112597835,-0.438632577996772,-1.07722944522158
AB_GSIMS_2193,53.9,-119.067,1220,-0.0384753107848756,0.0150747541322998,0.0350234324908753,0.399139738265983,0.173579981025698,-0.717741901648902,-0.201985077573761,0.00302869903358258,-0.517217774691388,-0.311438599482596,-0.150366907039049,-0.19220438936812,-0.389724107089876,-0.141990901093678,-0.478691754827301,-0.321178096709735,-0.0178405680432757,0.468014659133291,0.593822334917584,-0.412294309849543,-0.19063863297493,-0.697266011500962,0.591534193201272,-0.735611192238127,-0.418257259001623,-0.766576105299988,-0.39215885486994,0.219815096587853,-0.600546536960013,-1.08929299390391,-1.30399173418836,-1.24548992279007,0.262106648932261,-1.94207413131564,NA
AB_GSIMS_2206,54.65,-118.833,1021,0.00102168157411585,0.00433164113813356,0.0456158923873078,0.246035874081829,-0.90244303625775,-0.874682240276631,0.161751570878645,-0.0821262584638859,0.0602614902939285,0.466886473712842,0.268589258443312,-0.5033647502805,-0.160462493416927,0.639078436556662,-0.3550368928811,-0.772259833364748,0.067946915206928,-0.225457293641496,0.94508281292257,0.427259667594606,0.219628355485767,-0.705631931888999,1.18823905541801,-0.666778259570534,-0.418257259001623,-0.7219392691398,0.453112031481777,-0.266839368764052,0.385649165176595,0.535375442263515,0.742871762342395,0.846955243642673,-0.422094691644816,-0.0616988189027083,-1.1428156649854
AB_GSIMS_2212,54.417,-119,1189,-0.0198197857536125,0.0121817261274284,0.0327196843831313,-0.265680038079722,-0.459980927965743,-1.31509057306455,-0.0521111886228004,0.021027734804347,-0.399674445028366,-0.106136893736182,0.377457295703275,-0.291350446247766,-0.742653721789959,0.47571077449477,-0.0352789627272506,-0.653039057834732,-0.0227679601684686,0.202722282671664,1.51470237542617,-0.158252066806117,0.110359729269078,-0.477543845961715,1.67431156895913,-0.550061392436765,0.144466526816236,-1.12171262797314,-0.142675850039293,0.0561821183293828,-0.259219794881698,0.207439743419579,0.515659586619041,0.133581010580296,0.141428621062315,-0.223326797367499,-0.526504275933385
AB_GSIMS_2235,55.633,-113.45,914,-0.0185343329578995,-0.038737771701854,0.0261130458448822,-0.308270971091947,0.222835507176984,-0.685541189073557,2.01361033002587,1.56884559911913,-0.392753182522409,-0.328797351071917,-1.03007391160959,-0.922512627195147,-0.460572529737451,-0.660984618777632,-0.665683743473095,-0.35967070117834,-1.55033265517107,-2.27826312963099,0.529389464830133,0.0904187980200966,-0.567961304031215,-0.805079907681103,0.926861642488286,-0.824192852792747,-0.905423603890031,-0.580725289910194,-0.0440807725100003,-2.10176365160405,2.27498076195036,-0.36122287281104,-0.613361261169406,-0.648501236493288,-0.35630344193175,-0.83581778709417,NA
AB_GSIMS_2237,59.7,-117.983,731,0.00434827349174154,-0.13642376465128,0.0571596392358805,-0.806276538200382,-0.0594894573840623,-0.232839040174307,4.07111107647476,3.04773429307967,-0.515782477093422,-0.681830714744393,-1.37813108330623,-1.52154469711864,-1.72860427952887,-0.606544290059464,-1.04978957989915,-1.24090781825608,-3.02028879141536,-3.42046796097808,-0.699984817497999,0.129173956404928,-0.982817554785331,-0.704901431294327,-0.392619029358126,-0.910265228148773,-0.622532436854907,0.489540545555599,-0.206582159310081,-3.51036180313416,3.37801017251064,-1.39446490320028,-2.01713868629252,-1.33049885866643,-1.65278457996185,-0.463854343805635,NA
AB_GSIMS_2424,49.917,-114.083,1432,-0.0650960517998576,0.0373770855163136,-0.0511340967451781,0.203515430416733,0.575403666329528,-0.00379341390878099,-0.181737208827507,-0.174875561631435,-0.0462821490669828,0.204074175787081,0.0346526470609576,-0.252066739076432,0.606963268340523,-0.314604034200961,-0.290847255760173,0.828189783030516,0.166173212648192,0.0729902980784373,0.11191624732291,0.42452814761384,-0.219386338865252,-0.245565639000085,0.00593883264594419,-0.44864520928003,-0.825391721160525,-0.18423320570962,0.33138053992581,0.11018404855536,0.0930394782282561,-0.249484610084417,-0.04107499650392,-0.380924695570682,0.409836549520498,-0.741752757325569,NA
AB_GSIMS_2426,51.333,-114.583,1371,-0.0645895262061096,0.0064494053071799,-0.0498011272856261,0.900681799349376,0.438670739260525,-0.112620037808652,-0.222442352327421,-0.18378148955755,-0.254407341474998,0.0833034702521308,-0.766161810238426,-0.435515944403985,0.693140183374891,-0.651208829975977,-0.658601143146291,0.763333543014424,0.17600176954349,0.0497108888358177,0.512161795481257,0.0416576144708215,-0.435983401814364,-1.00722107494335,0.493089636040632,-0.96235784380326,-1.43963314826804,-0.589846846057023,0.0904315197282983,0.0893893326029389,-0.0248230134681148,-0.296992382548209,0.161287989139813,-0.00305218068373387,-0.308104988848026,-0.149178739966658,NA
AB_GSIMS_2428,52.167,-115.667,1676,-0.0824328311989602,0.0135677144553723,-0.000851903477847997,-0.630249939216896,0.478478583934276,-1.57546804689712,0.507402890653688,0.749348104894504,-0.726052720252874,-0.863541615843393,-0.761227418531881,-0.906963287750945,-0.420593079008999,-0.614969456860146,-0.0424289781227223,0.544632251083545,-0.750653030746549,-0.427636319879871,1.65094424585583,-0.914429948729961,-0.806214182892428,-0.328237049489911,1.61905307944142,-0.670067286968551,-0.985963556291017,-1.35446771787964,-0.883286672890006,-0.436954727999997,0.067103380085433,-0.861199360757067,-0.756325521228725,-0.827377649559196,-0.913844268521894,-0.666239786205008,NA
